ADM3_PCODE,ADM3_EN,admin3AltName1_en,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
ET030798,Bure town,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,64632.00,33182.00,31450.00,6147.00,6559.00,6950.00,6079.00,2277.00,8042.00,7988.00,4718.00,3948.00,2546.00,2316.00,1671.00,1377.00,1153.00,2862.00,3546.00,3784.00,3665.00,2852.00,1068.00,3659.00,4088.00,2608.00,2007.00,1434.00,1193.00,848.00,628.00,532.00,1269.00,2601.00,2775.00,3285.00,3227.00,1209.00,4384.00,3901.00,2110.00,1941.00,1112.00,1123.00,823.00,749.00,621.00,1593.00
ET030799,Adete town,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,39062.00,20209.00,18853.00,3719.00,3968.00,4201.00,3671.00,1375.00,4856.00,4828.00,2853.00,2386.00,1540.00,1400.00,1010.00,831.00,696.00,1728.00,2160.00,2304.00,2232.00,1737.00,651.00,2228.00,2490.00,1589.00,1222.00,873.00,727.00,517.00,382.00,324.00,773.00,1559.00,1663.00,1969.00,1934.00,725.00,2628.00,2338.00,1265.00,1163.00,667.00,673.00,493.00,449.00,372.00,955.00
ET030801,Zequala,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,59115.00,30068.00,29047.00,7411.00,7907.00,8440.00,4848.00,1816.00,4591.00,4622.00,3211.00,3337.00,2411.00,2335.00,1944.00,1597.00,1463.00,3184.00,3849.00,4107.00,4470.00,2556.00,958.00,2265.00,2261.00,1588.00,1517.00,1257.00,1128.00,883.00,808.00,728.00,1693.00,3561.00,3800.00,3971.00,2292.00,858.00,2326.00,2360.00,1623.00,1820.00,1154.00,1207.00,1060.00,789.00,735.00,1492.00
ET030802,Sekota,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,88134.00,43796.00,44339.00,11444.00,12211.00,13029.00,7057.00,2643.00,6233.00,6306.00,4552.00,4930.00,3612.00,3534.00,2998.00,2453.00,2271.00,4861.00,5741.00,6126.00,6752.00,3717.00,1392.00,3078.00,2989.00,2150.00,2146.00,1821.00,1653.00,1311.00,1228.00,1112.00,2580.00,5703.00,6085.00,6277.00,3340.00,1251.00,3155.00,3318.00,2402.00,2784.00,1792.00,1880.00,1688.00,1226.00,1159.00,2281.00
ET030803,Dehana,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,140863.00,69607.00,71257.00,17956.00,19159.00,20449.00,11417.00,4277.00,10474.00,10560.00,7466.00,7927.00,5754.00,5608.00,4717.00,3864.00,3559.00,7676.00,9023.00,9628.00,10549.00,5913.00,2214.00,5058.00,4979.00,3540.00,3458.00,2900.00,2620.00,2065.00,1913.00,1729.00,4015.00,8932.00,9532.00,9900.00,5505.00,2063.00,5415.00,5581.00,3925.00,4469.00,2854.00,2988.00,2652.00,1951.00,1830.00,3661.00
ET030804,Gaz Gibla,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,81703.00,40743.00,40960.00,10609.00,11320.00,12080.00,6543.00,2451.00,5778.00,5845.00,4219.00,4568.00,3349.00,3275.00,2779.00,2274.00,2105.00,4507.00,5341.00,5699.00,6282.00,3458.00,1295.00,2863.00,2780.00,2000.00,1996.00,1694.00,1538.00,1219.00,1142.00,1035.00,2400.00,5268.00,5621.00,5798.00,3085.00,1156.00,2915.00,3065.00,2219.00,2572.00,1655.00,1737.00,1559.00,1132.00,1071.00,2107.00
ET030805,Abergele (AM),,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,49800.00,25164.00,24635.00,6467.00,6901.00,7367.00,3991.00,1495.00,3521.00,3561.00,2570.00,2780.00,2042.00,1995.00,1691.00,1386.00,1283.00,2750.00,3299.00,3520.00,3880.00,2136.00,800.00,1768.00,1717.00,1235.00,1233.00,1046.00,950.00,753.00,705.00,639.00,1483.00,3169.00,3381.00,3487.00,1856.00,695.00,1753.00,1843.00,1335.00,1547.00,995.00,1045.00,938.00,681.00,644.00,1267.00
ET030806,Sahila,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,27310.00,13887.00,13423.00,3547.00,3785.00,4041.00,2190.00,820.00,1931.00,1952.00,1409.00,1523.00,1120.00,1093.00,927.00,760.00,704.00,1509.00,1820.00,1942.00,2141.00,1179.00,442.00,976.00,948.00,682.00,680.00,577.00,524.00,416.00,389.00,353.00,818.00,1726.00,1842.00,1900.00,1011.00,379.00,955.00,1004.00,727.00,843.00,542.00,569.00,511.00,371.00,351.00,690.00
ET030807,Sekota town,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,45477.00,22615.00,22862.00,4307.00,4596.00,4885.00,4290.00,1607.00,5680.00,5621.00,3311.00,2779.00,1786.00,1629.00,1176.00,972.00,814.00,2023.00,2417.00,2579.00,2498.00,1944.00,728.00,2494.00,2786.00,1778.00,1368.00,977.00,813.00,578.00,428.00,363.00,865.00,1891.00,2017.00,2388.00,2346.00,879.00,3187.00,2835.00,1534.00,1411.00,808.00,816.00,598.00,545.00,451.00,1158.00
ET030808,Tsagbeji,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,41475.00,20610.00,20865.00,5385.00,5746.00,6131.00,3321.00,1244.00,2933.00,2968.00,2142.00,2320.00,1700.00,1663.00,1411.00,1155.00,1069.00,2288.00,2702.00,2883.00,3177.00,1749.00,655.00,1448.00,1406.00,1012.00,1010.00,857.00,778.00,617.00,578.00,523.00,1214.00,2684.00,2864.00,2954.00,1572.00,589.00,1485.00,1561.00,1130.00,1310.00,843.00,885.00,794.00,577.00,545.00,1073.00
ET030901,Dangila,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,151838.00,76546.00,75292.00,19718.00,21040.00,22460.00,12168.00,4558.00,10737.00,10857.00,7836.00,8478.00,6224.00,6083.00,5157.00,4227.00,3912.00,8383.00,10034.00,10707.00,11801.00,6497.00,2434.00,5379.00,5224.00,3758.00,3750.00,3182.00,2890.00,2291.00,2145.00,1944.00,4510.00,9684.00,10333.00,10659.00,5671.00,2124.00,5358.00,5634.00,4079.00,4728.00,3042.00,3193.00,2866.00,2082.00,1968.00,3873.00
ET030902,Banja,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,103216.00,50818.00,52398.00,13401.00,14299.00,15253.00,8260.00,3094.00,7300.00,7389.00,5333.00,5780.00,4230.00,4140.00,3515.00,2873.00,2660.00,5689.00,6662.00,7108.00,7835.00,4313.00,1616.00,3571.00,3468.00,2495.00,2490.00,2113.00,1919.00,1521.00,1424.00,1291.00,2994.00,6739.00,7191.00,7418.00,3947.00,1478.00,3728.00,3921.00,2838.00,3290.00,2117.00,2222.00,1995.00,1449.00,1369.00,2695.00
ET030903,Ankasha,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,123251.00,61265.00,61985.00,15425.00,16459.00,17537.00,10093.00,3781.00,9611.00,9697.00,6731.00,6988.00,5026.00,4873.00,4060.00,3319.00,3042.00,6607.00,7815.00,8339.00,9055.00,5209.00,1951.00,4662.00,4672.00,3271.00,3104.00,2562.00,2297.00,1794.00,1636.00,1472.00,3425.00,7611.00,8120.00,8482.00,4884.00,1829.00,4949.00,5025.00,3460.00,3883.00,2465.00,2575.00,2266.00,1684.00,1569.00,3182.00
ET030904,Guangua,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,220917.00,109697.00,111220.00,28685.00,30608.00,32657.00,17688.00,6626.00,15623.00,15808.00,11410.00,12359.00,9054.00,8858.00,7517.00,6150.00,5693.00,12184.00,14380.00,15344.00,16913.00,9311.00,3488.00,7709.00,7486.00,5385.00,5375.00,4560.00,4141.00,3283.00,3075.00,2786.00,6463.00,14305.00,15264.00,15745.00,8377.00,3138.00,7914.00,8322.00,6025.00,6984.00,4494.00,4716.00,4234.00,3075.00,2907.00,5721.00
ET030905,Fagta Lakoma,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,153592.00,76002.00,77589.00,19308.00,20603.00,21968.00,12549.00,4701.00,11840.00,11937.00,8320.00,8691.00,6264.00,6083.00,5081.00,4158.00,3815.00,8272.00,9741.00,10393.00,11317.00,6461.00,2420.00,5708.00,5691.00,4002.00,3830.00,3174.00,2853.00,2234.00,2046.00,1844.00,4289.00,9567.00,10209.00,10651.00,6089.00,2281.00,6133.00,6247.00,4318.00,4862.00,3090.00,3230.00,2847.00,2111.00,1971.00,3984.00
ET030906,Jawi,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,145323.00,75789.00,69534.00,18068.00,19279.00,20583.00,11991.00,4492.00,11526.00,11592.00,7988.00,8206.00,5923.00,5713.00,4728.00,3894.00,3557.00,7784.00,9644.00,10290.00,11159.00,6446.00,2415.00,5808.00,5834.00,4075.00,3851.00,3170.00,2840.00,2216.00,2015.00,1812.00,4216.00,8425.00,8989.00,9424.00,5546.00,2077.00,5718.00,5758.00,3912.00,4354.00,2752.00,2873.00,2512.00,1879.00,1745.00,3568.00
ET030907,Guagusa Shikudad,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,104777.00,51674.00,53102.00,12960.00,13829.00,14739.00,8644.00,3238.00,8403.00,8459.00,5806.00,5963.00,4263.00,4125.00,3419.00,2797.00,2555.00,5576.00,6549.00,6987.00,7560.00,4396.00,1647.00,4003.00,4038.00,2812.00,2639.00,2163.00,1934.00,1506.00,1363.00,1225.00,2852.00,6412.00,6841.00,7180.00,4248.00,1591.00,4400.00,4421.00,2994.00,3325.00,2100.00,2191.00,1913.00,1433.00,1330.00,2724.00
ET030908,Ayehu Guwagusa,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,121713.00,60501.00,61212.00,15233.00,16254.00,17319.00,9967.00,3734.00,9491.00,9576.00,6647.00,6901.00,4964.00,4812.00,4010.00,3278.00,3004.00,6525.00,7717.00,8234.00,8943.00,5145.00,1927.00,4604.00,4613.00,3230.00,3065.00,2530.00,2268.00,1772.00,1616.00,1454.00,3382.00,7516.00,8020.00,8377.00,4823.00,1806.00,4887.00,4963.00,3416.00,3835.00,2434.00,2544.00,2238.00,1662.00,1550.00,3142.00
ET030996,Injibara town,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,45789.00,23607.00,22182.00,4357.00,4649.00,4924.00,4305.00,1613.00,5695.00,5659.00,3344.00,2797.00,1804.00,1641.00,1184.00,975.00,816.00,2026.00,2523.00,2692.00,2607.00,2029.00,760.00,2603.00,2908.00,1856.00,1428.00,1020.00,849.00,603.00,447.00,379.00,903.00,1834.00,1957.00,2317.00,2276.00,853.00,3092.00,2751.00,1488.00,1369.00,784.00,792.00,580.00,528.00,438.00,1124.00
ET030997,Zigem,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,127489.00,64255.00,63233.00,12095.00,12906.00,13701.00,12011.00,4499.00,15899.00,15758.00,9293.00,7788.00,5012.00,4568.00,3297.00,2722.00,2278.00,5660.00,6867.00,7327.00,7097.00,5523.00,2069.00,7085.00,7916.00,5051.00,3887.00,2777.00,2311.00,1642.00,1216.00,1031.00,2457.00,5229.00,5579.00,6604.00,6488.00,2430.00,8814.00,7842.00,4242.00,3902.00,2236.00,2257.00,1654.00,1506.00,1248.00,3203.00
ET030998,Dangila town,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,55000.00,28136.00,26864.00,5228.00,5579.00,5913.00,5175.00,1938.00,6847.00,6798.00,4014.00,3360.00,2166.00,1971.00,1422.00,1172.00,981.00,2436.00,3007.00,3208.00,3108.00,2419.00,906.00,3102.00,3466.00,2212.00,1702.00,1216.00,1012.00,719.00,532.00,451.00,1076.00,2221.00,2370.00,2806.00,2756.00,1032.00,3744.00,3332.00,1802.00,1658.00,950.00,959.00,703.00,640.00,530.00,1361.00
ET030999,Chagni town,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,63423.00,31966.00,31457.00,6017.00,6421.00,6816.00,5975.00,2238.00,7909.00,7839.00,4623.00,3875.00,2494.00,2273.00,1640.00,1354.00,1133.00,2816.00,3416.00,3645.00,3531.00,2748.00,1029.00,3525.00,3938.00,2513.00,1934.00,1381.00,1150.00,817.00,605.00,513.00,1222.00,2601.00,2776.00,3285.00,3227.00,1209.00,4385.00,3901.00,2110.00,1941.00,1112.00,1123.00,823.00,749.00,621.00,1593.00
ET031001,Dewa Cheffa,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,156343.00,77699.00,78644.00,20092.00,21439.00,22877.00,12605.00,4722.00,11376.00,11490.00,8196.00,8774.00,6397.00,6243.00,5270.00,4315.00,3983.00,8563.00,10118.00,10796.00,11857.00,6598.00,2472.00,5572.00,5456.00,3896.00,3839.00,3235.00,2928.00,2313.00,2153.00,1947.00,4521.00,9975.00,10644.00,11019.00,6007.00,2250.00,5805.00,6035.00,4300.00,4935.00,3162.00,3314.00,2957.00,2163.00,2036.00,4043.00
ET031002,Bati,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,104553.00,52660.00,51894.00,13577.00,14488.00,15465.00,8378.00,3138.00,7393.00,7477.00,5396.00,5839.00,4286.00,4189.00,3551.00,2911.00,2694.00,5772.00,6903.00,7366.00,8119.00,4469.00,1674.00,3701.00,3594.00,2585.00,2580.00,2189.00,1988.00,1576.00,1476.00,1337.00,3103.00,6674.00,7122.00,7346.00,3909.00,1464.00,3693.00,3883.00,2811.00,3259.00,2097.00,2201.00,1975.00,1435.00,1356.00,2669.00
ET031003,Jilye Tumuga,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,91552.00,44724.00,46828.00,11512.00,12283.00,13092.00,7473.00,2799.00,7052.00,7113.00,4960.00,5188.00,3733.00,3629.00,3034.00,2479.00,2275.00,4928.00,5733.00,6116.00,6660.00,3802.00,1424.00,3358.00,3349.00,2354.00,2253.00,1868.00,1679.00,1315.00,1205.00,1085.00,2524.00,5779.00,6167.00,6432.00,3672.00,1376.00,3694.00,3764.00,2605.00,2935.00,1865.00,1950.00,1720.00,1274.00,1190.00,2404.00
ET031004,Artuma Fursi,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,104159.00,51357.00,52802.00,13088.00,13965.00,14886.00,8510.00,3188.00,8039.00,8108.00,5649.00,5899.00,4248.00,4125.00,3446.00,2818.00,2585.00,5605.00,6578.00,7018.00,7638.00,4366.00,1635.00,3865.00,3856.00,2710.00,2590.00,2145.00,1927.00,1509.00,1381.00,1245.00,2894.00,6510.00,6947.00,7248.00,4144.00,1552.00,4174.00,4252.00,2939.00,3309.00,2103.00,2198.00,1937.00,1437.00,1341.00,2711.00
ET031005,Dewa Harewa,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,51301.00,25217.00,26083.00,6533.00,6971.00,7434.00,4156.00,1557.00,3824.00,3861.00,2728.00,2892.00,2096.00,2043.00,1718.00,1405.00,1294.00,2789.00,3262.00,3481.00,3809.00,2143.00,802.00,1845.00,1820.00,1291.00,1257.00,1051.00,949.00,746.00,690.00,623.00,1448.00,3272.00,3491.00,3625.00,2014.00,755.00,1979.00,2040.00,1436.00,1636.00,1045.00,1094.00,971.00,714.00,670.00,1341.00
ET031006,Kemisie town,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,46057.00,23925.00,22132.00,4387.00,4681.00,4954.00,4327.00,1621.00,5723.00,5692.00,3365.00,2813.00,1816.00,1650.00,1191.00,980.00,820.00,2036.00,2557.00,2728.00,2642.00,2057.00,770.00,2638.00,2947.00,1881.00,1447.00,1034.00,860.00,612.00,453.00,384.00,915.00,1830.00,1953.00,2312.00,2271.00,851.00,3085.00,2745.00,1485.00,1366.00,783.00,790.00,579.00,527.00,437.00,1121.00
ET031099,Bati Town,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,42723.00,20469.00,22255.00,4028.00,4298.00,4585.00,4043.00,1514.00,5359.00,5282.00,3102.00,2611.00,1671.00,1531.00,1105.00,917.00,767.00,1910.00,2187.00,2334.00,2261.00,1760.00,659.00,2257.00,2522.00,1609.00,1238.00,885.00,736.00,523.00,387.00,328.00,783.00,1840.00,1964.00,2324.00,2283.00,855.00,3102.00,2760.00,1493.00,1373.00,787.00,794.00,582.00,530.00,439.00,1127.00
ET031106,Chilga 1,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,55540.00,28218.00,27322.00,7213.00,7697.00,8218.00,4453.00,1668.00,3927.00,3970.00,2865.00,3098.00,2277.00,2224.00,1885.00,1546.00,1431.00,3068.00,3699.00,3947.00,4350.00,2395.00,897.00,1983.00,1926.00,1385.00,1383.00,1173.00,1065.00,844.00,791.00,717.00,1663.00,3514.00,3750.00,3868.00,2058.00,771.00,1944.00,2044.00,1480.00,1716.00,1104.00,1159.00,1040.00,755.00,714.00,1405.00
ET031107,Tsegede (AM),,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,89921.00,45619.00,44302.00,11293.00,12050.00,12865.00,7366.00,2759.00,6951.00,6995.00,4869.00,5072.00,3667.00,3554.00,2962.00,2434.00,2231.00,4852.00,5850.00,6243.00,6800.00,3878.00,1453.00,3420.00,3407.00,2397.00,2297.00,1906.00,1713.00,1341.00,1230.00,1109.00,2577.00,5443.00,5808.00,6065.00,3489.00,1307.00,3532.00,3589.00,2472.00,2776.00,1762.00,1842.00,1621.00,1203.00,1123.00,2275.00
ET031108,Lay Armacho,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,192976.00,96299.00,96677.00,24138.00,25756.00,27512.00,15849.00,5937.00,15060.00,15124.00,10483.00,10905.00,7858.00,7621.00,6346.00,5214.00,4775.00,10399.00,12346.00,13173.00,14345.00,8186.00,3066.00,7226.00,7202.00,5066.00,4850.00,4022.00,3615.00,2832.00,2595.00,2338.00,5437.00,11792.00,12582.00,13167.00,7663.00,2871.00,7834.00,7922.00,5417.00,6055.00,3836.00,4005.00,3514.00,2619.00,2437.00,4962.00
ET031109,Wegera,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,286472.00,144781.00,141691.00,35645.00,38034.00,40613.00,23606.00,8843.00,22655.00,22761.00,15698.00,16208.00,11663.00,11284.00,9363.00,7696.00,7037.00,15366.00,18470.00,19708.00,21402.00,12311.00,4612.00,11016.00,11036.00,7728.00,7335.00,6054.00,5428.00,4241.00,3867.00,3480.00,8095.00,17175.00,18327.00,19211.00,11295.00,4232.00,11640.00,11725.00,7971.00,8873.00,5610.00,5855.00,5122.00,3830.00,3557.00,7271.00
ET031110,Gonder Zuria,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,236868.00,119792.00,117076.00,29435.00,31408.00,33530.00,19531.00,7316.00,18793.00,18885.00,13009.00,13409.00,9643.00,9325.00,7733.00,6355.00,5808.00,12688.00,15262.00,16284.00,17672.00,10187.00,3816.00,9147.00,9176.00,6419.00,6079.00,5010.00,4490.00,3506.00,3192.00,2871.00,6681.00,14173.00,15123.00,15858.00,9344.00,3501.00,9646.00,9708.00,6591.00,7331.00,4633.00,4836.00,4227.00,3163.00,2936.00,6007.00
ET031111,East Dembia,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,172453.00,87204.00,85248.00,21520.00,22963.00,24523.00,14187.00,5314.00,13541.00,13606.00,9410.00,9746.00,7024.00,6800.00,5650.00,4645.00,4251.00,9271.00,11148.00,11896.00,12934.00,7414.00,2777.00,6595.00,6593.00,4626.00,4407.00,3644.00,3271.00,2558.00,2338.00,2105.00,4896.00,10372.00,11068.00,11589.00,6773.00,2537.00,6947.00,7013.00,4785.00,5339.00,3379.00,3529.00,3092.00,2307.00,2146.00,4375.00
ET031112,Chilga 2,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,175877.00,89356.00,86521.00,22841.00,24373.00,26025.00,14101.00,5282.00,12436.00,12572.00,9073.00,9811.00,7211.00,7042.00,5968.00,4897.00,4531.00,9715.00,11713.00,12499.00,13776.00,7584.00,2841.00,6279.00,6098.00,4386.00,4378.00,3715.00,3373.00,2674.00,2504.00,2269.00,5265.00,11128.00,11874.00,12248.00,6517.00,2441.00,6157.00,6474.00,4687.00,5433.00,3496.00,3669.00,3294.00,2392.00,2261.00,4451.00
ET031115,Alfa,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,231798.00,116448.00,115350.00,29151.00,31106.00,33218.00,18971.00,7107.00,17851.00,17952.00,12512.00,13075.00,9451.00,9171.00,7653.00,6286.00,5766.00,12528.00,14966.00,15969.00,17414.00,9897.00,3707.00,8677.00,8624.00,6081.00,5847.00,4861.00,4375.00,3431.00,3151.00,2842.00,6606.00,14185.00,15137.00,15803.00,9074.00,3399.00,9174.00,9328.00,6431.00,7228.00,4589.00,4797.00,4223.00,3135.00,2924.00,5922.00
ET031116,West Belesa,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,171393.00,86921.00,84472.00,21710.00,23166.00,24729.00,13962.00,5230.00,12965.00,13064.00,9173.00,9643.00,7000.00,6797.00,5690.00,4671.00,4292.00,9300.00,11207.00,11957.00,13063.00,7386.00,2766.00,6418.00,6357.00,4496.00,4348.00,3626.00,3268.00,2567.00,2366.00,2135.00,4961.00,10504.00,11208.00,11666.00,6577.00,2464.00,6547.00,6707.00,4677.00,5296.00,3374.00,3529.00,3122.00,2305.00,2158.00,4339.00
ET031117,East Belesa,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,143994.00,72774.00,71220.00,17917.00,19118.00,20414.00,11866.00,4445.00,11388.00,11441.00,7891.00,8147.00,5862.00,5672.00,4706.00,3869.00,3537.00,7724.00,9283.00,9906.00,10757.00,6189.00,2318.00,5536.00,5547.00,3885.00,3687.00,3043.00,2728.00,2132.00,1943.00,1750.00,4069.00,8633.00,9212.00,9657.00,5677.00,2127.00,5851.00,5893.00,4006.00,4460.00,2820.00,2943.00,2574.00,1925.00,1787.00,3654.00
ET031118,Gonder town,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,421173.00,206230.00,214943.00,39813.00,42481.00,45226.00,39781.00,14901.00,52699.00,52064.00,30630.00,25737.00,16511.00,15089.00,10895.00,9022.00,7549.00,18773.00,22038.00,23516.00,22778.00,17728.00,6641.00,22741.00,25406.00,16211.00,12475.00,8912.00,7417.00,5271.00,3902.00,3308.00,7885.00,17774.00,18966.00,22449.00,22053.00,8261.00,29959.00,26658.00,14419.00,13262.00,7599.00,7672.00,5624.00,5119.00,4241.00,10888.00
ET031120,Tach Armacho,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,166351.00,84975.00,81376.00,20310.00,21671.00,23149.00,13877.00,5198.00,13757.00,13786.00,9343.00,9455.00,6754.00,6500.00,5338.00,4399.00,3999.00,8814.00,10713.00,11432.00,12333.00,7232.00,2709.00,6675.00,6765.00,4690.00,4365.00,3561.00,3177.00,2466.00,2222.00,1994.00,4643.00,9597.00,10240.00,10817.00,6646.00,2489.00,7083.00,7021.00,4653.00,5089.00,3193.00,3323.00,2872.00,2177.00,2006.00,4171.00
ET031121,Takusa,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,178765.00,90440.00,88325.00,22625.00,24142.00,25778.00,14574.00,5459.00,13550.00,13643.00,9570.00,10059.00,7298.00,7087.00,5931.00,4871.00,4476.00,9701.00,11664.00,12446.00,13597.00,7684.00,2878.00,6673.00,6607.00,4674.00,4522.00,3772.00,3400.00,2672.00,2463.00,2223.00,5165.00,10962.00,11696.00,12182.00,6890.00,2581.00,6877.00,7035.00,4896.00,5537.00,3525.00,3687.00,3259.00,2409.00,2253.00,4537.00
ET031122,Kinfaz,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,149300.00,75455.00,73845.00,18577.00,19822.00,21166.00,12303.00,4609.00,11807.00,11862.00,8181.00,8447.00,6079.00,5881.00,4880.00,4011.00,3668.00,8008.00,9626.00,10271.00,11154.00,6416.00,2404.00,5740.00,5752.00,4027.00,3823.00,3155.00,2829.00,2210.00,2015.00,1814.00,4219.00,8951.00,9551.00,10012.00,5887.00,2205.00,6067.00,6111.00,4154.00,4624.00,2924.00,3052.00,2669.00,1996.00,1854.00,3789.00
ET031125,West Dembiya,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,160585.00,81203.00,79382.00,20039.00,21383.00,22836.00,13211.00,4949.00,12610.00,12670.00,8762.00,9075.00,6540.00,6332.00,5261.00,4326.00,3958.00,8633.00,10382.00,11077.00,12045.00,6904.00,2586.00,6142.00,6139.00,4307.00,4104.00,3394.00,3046.00,2383.00,2177.00,1960.00,4560.00,9658.00,10305.00,10792.00,6307.00,2363.00,6469.00,6531.00,4455.00,4971.00,3147.00,3286.00,2878.00,2149.00,1998.00,4074.00
ET031199,Aykel town,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,42143.00,19708.00,22436.00,3961.00,4227.00,4520.00,3996.00,1497.00,5300.00,5210.00,3054.00,2576.00,1645.00,1510.00,1091.00,907.00,759.00,1890.00,2106.00,2247.00,2177.00,1694.00,635.00,2173.00,2428.00,1549.00,1192.00,852.00,709.00,504.00,373.00,316.00,753.00,1855.00,1980.00,2343.00,2302.00,862.00,3127.00,2783.00,1505.00,1384.00,793.00,801.00,587.00,534.00,443.00,1136.00
ET031206,Mirab Armacho,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,47921.00,26648.00,21273.00,6229.00,6647.00,7120.00,3864.00,1447.00,3386.00,3410.00,2460.00,2641.00,1967.00,1908.00,1607.00,1335.00,1233.00,2664.00,3493.00,3727.00,4108.00,2262.00,847.00,1873.00,1819.00,1308.00,1306.00,1108.00,1006.00,797.00,747.00,677.00,1570.00,2736.00,2920.00,3012.00,1602.00,600.00,1514.00,1592.00,1152.00,1336.00,860.00,902.00,810.00,588.00,556.00,1094.00
ET031213,Metema,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,150311.00,80871.00,69440.00,19532.00,20842.00,22298.00,12094.00,4530.00,10624.00,10715.00,7732.00,8323.00,6168.00,5998.00,5064.00,4187.00,3869.00,8337.00,10601.00,11312.00,12468.00,6864.00,2571.00,5683.00,5519.00,3970.00,3962.00,3362.00,3053.00,2420.00,2267.00,2054.00,4765.00,8931.00,9530.00,9830.00,5230.00,1959.00,4941.00,5196.00,3762.00,4360.00,2806.00,2945.00,2643.00,1920.00,1815.00,3572.00
ET031214,Quara,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,112652.00,59546.00,53107.00,14302.00,15260.00,16308.00,9186.00,3441.00,8480.00,8540.00,6007.00,6304.00,4606.00,4460.00,3726.00,3074.00,2824.00,6133.00,7685.00,8200.00,8963.00,5060.00,1896.00,4384.00,4337.00,3070.00,2975.00,2483.00,2239.00,1760.00,1623.00,1466.00,3406.00,6617.00,7060.00,7345.00,4127.00,1546.00,4097.00,4202.00,2937.00,3329.00,2123.00,2221.00,1966.00,1451.00,1358.00,2728.00
