ADM3_PCODE,ADM3_EN,admin3AltName1_en,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
ET010603,Hintalo,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,88471.00,43535.00,44936.00,12062.00,12870.00,13569.00,7280.00,2727.00,7260.00,5436.00,4378.00,4671.00,3610.00,3408.00,2813.00,2103.00,1614.00,4671.00,6237.00,6655.00,6893.00,3650.00,1367.00,3712.00,2503.00,2069.00,1809.00,1762.00,1355.00,1283.00,1040.00,790.00,2408.00,5824.00,6214.00,6676.00,3630.00,1360.00,3549.00,2934.00,2308.00,2862.00,1848.00,2053.00,1530.00,1062.00,823.00,2263.00
ET010604,Degua Temben,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,37064.00,18460.00,18605.00,5075.00,5415.00,5715.00,3036.00,1137.00,3029.00,2242.00,1814.00,1943.00,1516.00,1429.00,1185.00,883.00,679.00,1966.00,2655.00,2832.00,2941.00,1540.00,577.00,1572.00,1043.00,864.00,756.00,750.00,574.00,548.00,444.00,339.00,1027.00,2421.00,2583.00,2773.00,1497.00,561.00,1457.00,1199.00,951.00,1187.00,767.00,855.00,638.00,439.00,340.00,938.00
ET010605,Hagere Selam town,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,9185.00,4575.00,4610.00,1257.00,1342.00,1416.00,753.00,282.00,751.00,556.00,450.00,482.00,376.00,354.00,294.00,219.00,168.00,487.00,657.00,702.00,729.00,382.00,142.00,389.00,258.00,214.00,188.00,186.00,142.00,136.00,110.00,84.00,255.00,600.00,640.00,687.00,371.00,139.00,361.00,298.00,235.00,294.00,190.00,212.00,158.00,108.00,84.00,232.00
ET010606,Samre,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,93972.00,46504.00,47468.00,12823.00,13683.00,14428.00,7727.00,2894.00,7709.00,5757.00,4640.00,4951.00,3836.00,3617.00,2990.00,2235.00,1716.00,4967.00,6668.00,7115.00,7374.00,3894.00,1458.00,3964.00,2663.00,2203.00,1927.00,1883.00,1447.00,1373.00,1113.00,847.00,2576.00,6155.00,6568.00,7055.00,3833.00,1435.00,3744.00,3094.00,2437.00,3023.00,1953.00,2170.00,1617.00,1122.00,870.00,2390.00
ET010607,Adigudom,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,15581.00,7672.00,7909.00,2124.00,2266.00,2389.00,1282.00,480.00,1279.00,958.00,771.00,823.00,636.00,600.00,495.00,370.00,284.00,823.00,1099.00,1173.00,1215.00,643.00,241.00,654.00,441.00,364.00,319.00,310.00,238.00,226.00,184.00,139.00,425.00,1024.00,1093.00,1175.00,639.00,240.00,625.00,517.00,406.00,504.00,326.00,361.00,269.00,187.00,145.00,398.00
ET010608,Wajirat,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,68710.00,33828.00,34883.00,9364.00,9992.00,10533.00,5656.00,2119.00,5642.00,4228.00,3403.00,3629.00,2803.00,2645.00,2183.00,1633.00,1253.00,3627.00,4845.00,5169.00,5354.00,2837.00,1063.00,2884.00,1948.00,1610.00,1407.00,1368.00,1053.00,996.00,808.00,614.00,1871.00,4519.00,4822.00,5180.00,2819.00,1056.00,2758.00,2281.00,1793.00,2221.00,1435.00,1592.00,1187.00,825.00,639.00,1756.00
ET010701,Mekelle,,Mekelle,ET0107,Tigray,ET01,Ethiopia,ET,520930.00,263498.00,257432.00,61155.00,65255.00,66068.00,50315.00,18847.00,51232.00,49501.00,35201.00,30685.00,19500.00,17009.00,12298.00,11654.00,8258.00,23952.00,33498.00,35743.00,33617.00,25725.00,9636.00,23128.00,23241.00,18473.00,15638.00,9706.00,8461.00,6169.00,4987.00,3509.00,11967.00,27658.00,29512.00,32451.00,24589.00,9211.00,28105.00,26260.00,16727.00,15046.00,9794.00,8547.00,6129.00,6667.00,4749.00,11984.00
ET020101,Dubti,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,64232.00,34077.00,30154.00,11189.00,11939.00,9071.00,4976.00,1864.00,4779.00,4275.00,3852.00,3097.00,2442.00,1970.00,1420.00,1045.00,688.00,1626.00,6010.00,6413.00,5079.00,2922.00,1095.00,2370.00,1559.00,1831.00,1471.00,1423.00,1060.00,768.00,654.00,362.00,1061.00,5179.00,5526.00,3992.00,2054.00,769.00,2409.00,2716.00,2021.00,1627.00,1019.00,910.00,652.00,391.00,326.00,565.00
ET020102,Elidar,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,98798.00,53214.00,45585.00,16129.00,17210.00,12896.00,7559.00,2831.00,8266.00,7944.00,6154.00,5375.00,4017.00,2983.00,2275.00,1582.00,1131.00,2447.00,8872.00,9466.00,7176.00,4363.00,1634.00,3880.00,3487.00,3081.00,2874.00,2404.00,1662.00,1170.00,990.00,666.00,1488.00,7257.00,7743.00,5720.00,3196.00,1197.00,4386.00,4456.00,3073.00,2501.00,1613.00,1321.00,1104.00,592.00,465.00,959.00
ET020103,Asayita,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,38616.00,20258.00,18358.00,5776.00,6163.00,4547.00,2912.00,1091.00,3720.00,3755.00,2513.00,2368.00,1681.00,1138.00,942.00,603.00,468.00,938.00,3161.00,3372.00,2413.00,1577.00,590.00,1552.00,1771.00,1266.00,1338.00,991.00,635.00,433.00,365.00,295.00,495.00,2615.00,2790.00,2133.00,1336.00,501.00,2167.00,1984.00,1247.00,1030.00,690.00,503.00,509.00,239.00,172.00,442.00
ET020104,Afambo,,Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,27731.00,14872.00,12859.00,4740.00,5058.00,3827.00,2141.00,802.00,2137.00,1960.00,1682.00,1390.00,1077.00,847.00,620.00,449.00,304.00,697.00,2578.00,2750.00,2150.00,1258.00,471.00,1050.00,774.00,819.00,693.00,637.00,463.00,333.00,282.00,167.00,449.00,2163.00,2308.00,1678.00,883.00,331.00,1086.00,1186.00,863.00,697.00,440.00,383.00,288.00,167.00,137.00,249.00
