ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2885953.00,1433549.00,1452403.00,438857.00,468272.00,437130.00,225462.00,84458.00,215835.00,210953.00,159303.00,168280.00,111116.00,84816.00,70146.00,54174.00,50008.00,107149.00,226224.00,241385.00,217009.00,117172.00,43892.00,102054.00,96371.00,75316.00,78986.00,55676.00,41805.00,31554.00,29546.00,24183.00,52372.00,212630.00,226890.00,220127.00,108290.00,40565.00,113778.00,114586.00,83984.00,89297.00,55435.00,43012.00,38596.00,24623.00,25822.00,54774.00
North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,1686805.00,837975.00,848829.00,259343.00,276727.00,258107.00,130744.00,48976.00,123161.00,120096.00,92025.00,97879.00,64978.00,49533.00,41101.00,31874.00,29350.00,62913.00,133955.00,142936.00,128456.00,68179.00,25541.00,58225.00,54073.00,43044.00,45685.00,32491.00,24331.00,18494.00,17426.00,14222.00,30913.00,125384.00,133790.00,129652.00,62563.00,23436.00,64941.00,66020.00,48983.00,52194.00,32483.00,25200.00,22610.00,14446.00,15127.00,31997.00
East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2387668.00,1202877.00,1184791.00,332979.00,355300.00,333928.00,199445.00,74710.00,212462.00,206805.00,141517.00,143132.00,91207.00,70171.00,56787.00,42789.00,40129.00,86302.00,175183.00,186923.00,168417.00,100981.00,37827.00,97830.00,100091.00,71598.00,70412.00,47193.00,35977.00,26054.00,23480.00,19533.00,41382.00,157800.00,168375.00,165510.00,98465.00,36883.00,114632.00,106717.00,69919.00,72720.00,44012.00,34196.00,30735.00,19312.00,20595.00,44921.00
Arsi,ET0408,Oromia,ET04,Ethiopia,ET,3787581.00,1887217.00,1900364.00,578473.00,617248.00,575946.00,295042.00,110521.00,280638.00,274037.00,208118.00,220411.00,145864.00,111277.00,92125.00,71295.00,65731.00,140856.00,299281.00,319340.00,287049.00,153983.00,57686.00,133131.00,124945.00,98320.00,103570.00,73253.00,54943.00,41578.00,39031.00,31915.00,69205.00,279190.00,297905.00,288897.00,141054.00,52842.00,147510.00,149096.00,109801.00,116839.00,72614.00,56331.00,50545.00,32270.00,33823.00,71658.00
West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2657825.00,1348784.00,1309038.00,411101.00,438658.00,408627.00,205139.00,76842.00,191249.00,186773.00,144335.00,153865.00,102494.00,78076.00,64723.00,50458.00,46299.00,99189.00,216224.00,230717.00,207329.00,109627.00,41065.00,93208.00,86238.00,68933.00,73362.00,52277.00,39123.00,29783.00,28106.00,22924.00,49867.00,194876.00,207941.00,201301.00,95510.00,35775.00,98044.00,100538.00,75404.00,80500.00,50214.00,38948.00,34939.00,22355.00,23374.00,49321.00
East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,3867023.00,1941698.00,1925324.00,599453.00,639641.00,595969.00,297655.00,111498.00,276654.00,270317.00,209606.00,223792.00,149148.00,113604.00,94322.00,73445.00,67447.00,144458.00,312076.00,332996.00,299220.00,157675.00,59063.00,133510.00,123092.00,98773.00,105384.00,75229.00,56278.00,42904.00,40529.00,33049.00,71932.00,287378.00,306647.00,296752.00,139986.00,52438.00,143147.00,147231.00,110833.00,118405.00,73917.00,57328.00,51426.00,32915.00,34402.00,72530.00
Bale,ET0411,Oromia,ET04,Ethiopia,ET,1407186.00,710952.00,696231.00,213445.00,227752.00,212529.00,110393.00,41354.00,106021.00,103357.00,77740.00,82010.00,54150.00,41326.00,34119.00,26419.00,24349.00,52215.00,112056.00,119567.00,107494.00,58132.00,21777.00,50730.00,47970.00,37433.00,39213.00,27618.00,20742.00,15641.00,14644.00,11985.00,25950.00,101389.00,108184.00,105037.00,52258.00,19574.00,55295.00,55384.00,40307.00,42800.00,26533.00,20586.00,18474.00,11777.00,12364.00,26266.00
Borena,ET0412,Oromia,ET04,Ethiopia,ET,564765.00,282630.00,282134.00,87199.00,93044.00,86726.00,43596.00,16330.00,40778.00,39865.00,30740.00,32744.00,21777.00,16595.00,13765.00,10697.00,9836.00,21067.00,45237.00,48270.00,43380.00,22983.00,8610.00,19590.00,18165.00,14484.00,15393.00,10956.00,8203.00,6239.00,5882.00,4799.00,10438.00,41960.00,44773.00,43347.00,20613.00,7722.00,21188.00,21703.00,16255.00,17351.00,10819.00,8393.00,7525.00,4815.00,5036.00,10632.00
South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,1311406.00,656265.00,655138.00,201301.00,214796.00,200315.00,101795.00,38132.00,96090.00,93763.00,71688.00,76144.00,50522.00,38518.00,31921.00,24766.00,22799.00,48856.00,104619.00,111634.00,100331.00,53450.00,20022.00,45839.00,42728.00,33875.00,35862.00,25455.00,19072.00,14477.00,13620.00,11125.00,24161.00,96684.00,103162.00,99983.00,48348.00,18109.00,50249.00,51033.00,37813.00,40285.00,25066.00,19446.00,17445.00,11145.00,11671.00,24696.00
Guji,ET0414,Oromia,ET04,Ethiopia,ET,1539071.00,770786.00,768282.00,235594.00,251385.00,234477.00,119656.00,44821.00,113394.00,110839.00,84443.00,89506.00,59299.00,45227.00,37437.00,29018.00,26721.00,57249.00,122353.00,130557.00,117349.00,62870.00,23548.00,54274.00,50871.00,40087.00,42268.00,29914.00,22430.00,16986.00,15954.00,13042.00,28284.00,113244.00,120832.00,117126.00,56788.00,21275.00,59122.00,59966.00,44357.00,47240.00,29383.00,22796.00,20450.00,13062.00,13684.00,28963.00
